"key","avg","std","len(val)"
"Sports Bars",2.2128378378378377,0.6983117097498105,74
"Gastropubs",2.6150121065375305,0.6918094408989155,413
"Tobacco Shops",2.1527777777777777,0.8128263826888629,18
"Bistros",2.558411214953271,0.8263896814872614,107
"Food",2.4166666666666665,0.886749562348235,195
"Hookah Bars",2.4375,0.7368641326594747,20
"Coffee & Tea Supplies",2.9166666666666665,0.9316949906249123,12
"Organic Stores",2.761627906976744,0.6903687259905766,43
"Accessories",2.9761904761904763,1.1230929919115005,21
"Scandinavian",2.3529411764705883,0.8447886244908867,17
"Cinema",3.1,0.9970790674097348,150
"Venues & Event Spaces",2.810077519379845,0.9012669773898195,258
"German",2.1323529411764706,0.7128940966788719,17
"Landmarks & Historical Buildings",2.4537037037037037,1.0475656017578483,27
"Specialty Food",2.581967213114754,0.8727680097970023,61
"Irish",2.4662162162162162,0.7951758308067446,37
"Fish & Chips",2.062020460358056,0.9552209974066599,1173
"African",2.3511904761904763,0.6793281077686505,42
"Gyms",3.4146341463414633,1.0338917657203153,41
"Social Clubs",2.675,1.145916663636584,50
"Vegetarian",2.175675675675676,0.8598885551315153,185
"Dive Bars",2.25,0.67700320038633,45
"Home Decor",2.767857142857143,1.0219217091303212,28
"Beer, Wine & Spirits",2.460664335664336,0.8579023323228456,286
"Imported Food",2.028688524590164,0.9099837422612506,61
"Karaoke",2.4537037037037037,0.7202013512085207,27
"Patisserie/Cake Shop",2.2260273972602738,0.7990052143651651,219
"Hostels",2.0833333333333335,0.7216878364870322,18
"Ramen",2.3076923076923075,0.4510015153676375,13
"Restaurants",2.6483050847457625,0.8913845053072378,708
"Golf",2.738095238095238,0.9144221128415012,21
"Nightlife",2.880434782608696,1.0050675004840721,23
"Turkish",2.2846638655462184,0.72442826807425,238
"Breweries",2.318840579710145,0.6122009148085436,69
"Himalayan/Nepalese",2.5,0.6622661785325219,57
"Sushi Bars",2.4655963302752295,0.9267729660649014,218
"Convenience Stores",2.3457278481012658,0.9064933350222015,316
"Salad",1.8421052631578947,0.744322927564787,76
"Discount Store",1.4781746031746033,0.6755508050092546,126
"Kitchen & Bath",2.840909090909091,1.0780492023301291,22
"Japanese",2.566860465116279,0.8688943276503993,430
"Milkshake Bars",2.0652173913043477,0.7913162923130999,23
"Swimming Pools",2.980769230769231,1.044498124153867,13
"Bed & Breakfast",2.5,0.8584285429310801,229
"Tex-Mex",2.4444444444444446,0.6949997779553779,45
"Comedy Clubs",1.9886363636363635,0.614582603772271,22
"Cantonese",2.1875,0.7184587919388875,28
"Guest Houses",2.4059139784946235,0.8644051177856735,93
"Florists",2.7586206896551726,0.9502330898727847,29
"Bars",2.563499529633114,0.7641507818816848,1063
"Bubble Tea",1.625,0.57282196186948,20
"Hotels",2.8642414296134207,0.8849069503543358,2742
"Candy Stores",2.4404761904761907,1.0188834981323627,126
"Gift Shops",2.5,0.9547032697824667,48
"Basque",2.71875,0.6782042004440846,40
"Asian Fusion",2.427455357142857,0.8362160989113064,224
"Arts & Crafts",2.0,0.7288689868556626,20
"Fast Food",2.0416516732637637,0.9266925168608757,2779
"Caribbean",1.9921875,0.723447624119224,64
"Vegan",2.0253164556962027,0.7254362902751677,79
"Creperies",1.8452380952380953,0.6242909810536617,21
"Performing Arts",2.627840909090909,0.8003854878966368,88
"Wine Bars",2.6934889434889433,0.7098382791565176,407
"Seafood Markets",2.525,0.6841966091702005,50
"Cupcakes",2.2058823529411766,0.9124760033816806,17
"Art Galleries",2.183333333333333,0.9594558643082834,75
"Kids Activities",2.9952830188679247,0.9510304317762243,53
"Hotels & Travel",2.6973684210526314,1.0929768240681677,19
"Brazilian",2.892857142857143,0.6527023886606095,35
"Hardware Stores",2.282608695652174,0.9506986785073859,23
"Polish",2.3295454545454546,0.7811208570947457,22
"Beer Gardens",2.75,0.5,15
"Child Care & Day Care",3.2291666666666665,1.1922419939853748,12
"Cafes",2.0315721649484537,0.846917912774188,1940
"Delicatessen",2.4502487562189055,0.8802772278219153,201
"Halal",2.1723300970873787,0.6270878972215441,103
"Shopping Centers",2.4324324324324325,0.7659313546455834,37
"Train Stations",2.6136363636363638,0.642824346533225,11
"Dim Sum",2.5223214285714284,0.6018512840496769,56
"Wedding Planning",3.25,1.0992421631894098,15
"Preschools",3.977272727272727,1.0414944761263272,11
"Argentine",3.712121212121212,0.7206930905469867,33
"Moroccan",2.4324324324324325,0.7086546271419942,37
"Bookstores",2.619047619047619,0.8187499459071144,105
"Desserts",2.1608040201005023,0.918074430579755,199
"Fruits & Veggies",2.052752293577982,0.8212162288976217,109
"Greek",2.6226993865030677,0.8332470754659927,163
"Cocktail Bars",2.7903005464480874,0.7312652164404223,366
"Pizza",2.34779792746114,0.7928119892877498,1158
"Seafood",2.9863013698630136,0.9453295531034276,365
"French",3.125,0.9631896879639026,384
"Leisure Centers",2.55,1.0295630140987,25
"Department Stores",2.7591036414565826,1.0390254984635017,357
"Vietnamese",2.096774193548387,0.7369220517135914,93
"Gas & Service Stations",2.5833333333333335,0.9090593428863094,30
"British",2.637783525666534,0.875389732825691,2513
"Latin American",2.5510204081632653,0.6662022886326835,49
"Dance Clubs",2.6508620689655173,0.9923627056654837,290
"Tapas/Small Plates",2.7213541666666665,0.5982502608156324,96
"Jazz & Blues",2.6136363636363638,0.642824346533225,33
