"key","ratings_avg","ratings_std","hygiene_avg","hygiene_std","r_value","std_err","len(val)"
"Derry City and Strabane",4.2203539823008835,0.5560860842563949,4.389380530973451,0.8030211573115515,-0.0633288477703276,0.13678889518127801,113
"Hillingdon",3.877326839826838,0.6131804439250254,4.157467532467533,1.1408342024664617,-0.03446319089262483,0.07503985571223012,616
"Merthyr Tydfil",4.129032258064516,0.7314120450228985,3.3548387096774195,1.3331598915981824,0.05559938505516511,0.337947180265431,31
"Birmingham",3.8503621513330253,0.6158826154765928,3.805362921867776,1.5006637135569278,-0.015547311050238913,0.05240896191035226,2163
"Camden",3.838124115625633,0.5790728863278001,3.903577926015767,1.2028037012016224,0.01305568879233896,0.051177340033877604,1649
"Rhondda Cynon Taf",3.833246073298428,0.9150040409448004,3.5968586387434556,1.1755763100051255,-0.13769765562706518,0.09256357646980644,191
"Cheshire West and Chester",4.008987558987556,0.6292153862360834,4.413127413127413,0.98141422160614,-0.016120851581353377,0.056020337623243925,777
"Rother",3.9546875,1.0489473425028304,4.15625,0.8046495743489833,0.016718889120677555,0.06832932343344846,128
"South Cambridgeshire",3.844148936170213,1.0501736528890224,4.638297872340425,0.7969498212905549,0.04068875342090623,0.07905259743815382,94
"Wyre",4.054615384615383,0.7714317230663108,4.287179487179487,1.150067888114233,0.07942912437686492,0.1069727129270067,195
"Enfield",3.9844761904761876,0.5984864204515025,3.76,1.4261236171624716,-0.050039905927023315,0.10406570001262339,525
"Harrogate",4.1873051224944335,0.4843987062362029,4.714922048997773,0.5885129466338973,0.06360788436051427,0.05734808672789952,449
"Oadby and Wigston",4.1612068965517235,0.4115826375573252,4.448275862068965,0.7916027781551033,-0.023357137777569963,0.2569435688276379,58
"Elmbridge",3.9359259259259263,0.5600167790941099,4.507407407407407,0.8377332404574577,-0.016356415942813545,0.09136486356921897,270
"Pendle",4.11451612903226,0.9409752617833486,4.596774193548387,0.7286681934242915,0.1732005967556649,0.09846053619947837,62
"Liverpool",3.8460178223336126,0.6664469259533026,4.101921470342523,1.1689256971233595,-0.007557687507599846,0.050737022938955365,1197
"Mid Devon",4.135537190082644,0.5953829941927486,4.809917355371901,0.5501922967634129,-0.08660292147292976,0.0843936639731095,121
"Bedford",3.7796610169491527,0.9732489118475937,4.5423728813559325,0.8795614064629914,-0.12769107580408148,0.0832230203377725,118
"Lisburn and Castlereagh City",4.000636942675161,0.6388431837409778,4.579617834394904,0.7748218495470023,0.07131382638341019,0.09717053402171086,157
"Windsor and Maidenhead",3.817012448132779,0.849616093343994,4.282157676348548,1.0482415190174978,0.09827439606317971,0.07942044331634891,241
"Barking and Dagenham",4.05326086956522,0.7008847028789249,3.239130434782609,1.2191369472008655,0.013080260916139364,0.1833358943507528,92
"Chelmsford",3.9882352941176458,0.6093322084891893,4.575851393188855,0.8952776708636129,0.08704843860520281,0.08169574129762991,323
"Bassetlaw",3.7041237113402063,1.0234032094074168,4.494845360824742,0.9319496395867647,0.0016436499561081534,0.09342933997913731,97
"Copeland",3.9238095238095227,0.9419861296647237,4.104761904761904,1.1457898878591057,-0.10599200021995213,0.11917593283631416,105
"Nuneaton and Bedworth",3.8558252427184465,0.8902737925888711,4.41747572815534,0.8421455705709296,0.04596433485674293,0.09402506366608461,103
"Gosport",3.9714285714285724,0.6889870492170868,4.487012987012987,1.0208031787281362,0.09641520827330774,0.11961376015215175,154
"Lichfield",4.112,0.8314421206554309,4.288,1.1371262023188102,-0.0248092287840226,0.12327936661793563,125
"Erewash",4.1417682926829285,0.5581543122512079,4.286585365853658,0.8887182048268842,-0.04052130032816815,0.12499580598645513,164
"West Lancashire",4.112285714285716,0.5308542211206694,4.171428571428572,1.0165969642661254,0.0988066110692007,0.14488389482103495,175
"North Lincolnshire",4.0459016393442635,0.6385848263849649,4.163934426229508,1.1406113958556694,-0.007798977175863706,0.11481489162800407,244
"Mid Ulster",3.7589285714285716,0.9589385474341419,4.589285714285714,0.7014471193357984,-0.22684028032989736,0.09694734111741185,56
"East Dorset",3.8125,0.8454843286542927,4.5,0.7637626158259734,0.16131130616527578,0.13144638303005368,48
"Reading",3.7099576271186434,0.8708414486650332,4.296610169491525,0.8666057109214467,-0.022161452173305406,0.06503810108564723,236
"Wellingborough",4.256147540983606,0.41737754014626066,4.139344262295082,1.1545744640164541,-0.027291731270683163,0.2524296991960749,122
"Bury",3.792894736842105,1.0078061318755624,4.363157894736842,1.0807943113702556,-0.08509013612132799,0.07793081028226036,190
"Brentwood",3.865714285714285,0.9403093281750752,4.671428571428572,0.6702116631851371,-0.04507756305108746,0.08634657014689519,70
"South Derbyshire",3.873214285714286,0.8829973449702382,4.6875,0.7200105405974475,0.049328744058067225,0.07765225647761773,112
"Leeds",3.950354969574046,0.6272492887643117,4.321501014198783,0.9995354795845224,0.0689860120791264,0.035816986075460806,1972
"Hertsmere",3.561016949152542,0.8937906229530649,3.6779661016949152,1.3396265349298635,-0.12196013900492197,0.13812261202062737,118
"Bolton",3.92883435582822,0.8067752917231752,3.6104294478527605,1.3378910928437853,-0.11762073126977472,0.09148934971489253,326
"Babergh",4.008823529411765,0.9767496057780332,4.352941176470588,1.0256232808330996,0.027718905845835713,0.12920096323973979,68
"North Kesteven",3.746376811594203,1.1566543093536443,4.594202898550725,0.7085163224104533,-0.2140103878278278,0.07310186933809303,69
"Oxford City",3.9466666666666668,0.5951277685773868,4.332258064516129,1.095117344360336,0.03704752831728494,0.07397039901768294,620
"Hounslow",3.9156269113149835,0.6046152258290585,3.9559633027522936,1.248076038075585,-0.10502262627611846,0.08809548766672669,545
"Rotherham",3.7594594594594595,0.9938043092647673,3.925675675675676,1.414649303385998,-0.06414133288455191,0.1175645202793131,148
"East Hampshire",4.083510638297871,0.609014214708174,4.303191489361702,0.8983379603419857,0.0028184713376740653,0.10815687365265714,188
"North East Lincolnshire",3.8648760330578513,0.9415269080151107,4.3884297520661155,1.070814171024497,-0.05614433659380521,0.10409319127264885,121
"East Staffordshire",4.069922480620155,0.526761589116484,4.325581395348837,0.9027330655076525,0.0018462790681650278,0.11742341564485172,215
"Broxtowe",3.9626760563380286,0.980755612330025,4.211267605633803,1.0058349899356127,0.04225957796284517,0.12335400316643294,71
"Ceredigion",4.066745283018869,0.5928745701022912,4.278301886792453,1.1339116398457032,0.11129632477600973,0.13115962625524727,212
"Sandwell",3.866231884057967,0.8184185907639467,3.6405797101449275,1.128590096520935,-0.043422903323053014,0.07438816758148556,345
"Rochford",3.9605919003115266,0.7261521533107668,4.457943925233645,1.078943528199014,0.02104600895569633,0.14497069867385257,107
"South Tyneside",4.024242424242424,1.0894898175029484,4.348484848484849,0.9612558742764788,0.007847529792076246,0.11028399021269561,66
"Worthing",3.917613636363636,0.8684344512844282,4.346590909090909,1.1176729949111766,-0.07536394123800554,0.09728955962036581,176
"South Oxfordshire",4.030654761904761,0.6057862265182571,4.032738095238095,1.203467066032529,-0.03076927721518121,0.10865154357261778,336
"Havant",4.004028436018958,0.5866366332541406,4.630331753554502,0.757790117053238,0.08543987030850594,0.08902574805010112,211
"Thanet",4.099425287356322,0.5722694309453903,4.740053050397878,0.7071540431101143,0.055672391066005605,0.06371237178011474,377
"Ashford",4.132255747126433,0.5136102941046505,4.5344827586206895,0.8653386269882486,-0.06206584597771795,0.11087926780658212,232
"Leicester City",4.039346846846842,0.5790384567124359,4.091891891891892,1.1921768366875187,0.02040665680248205,0.07577302832524231,740
"Harrow",3.8824283559577686,0.5839377911317928,3.509049773755656,1.3574528656975338,0.07750221661525858,0.11049015669934116,442
"Fylde",4.128457446808509,0.6485673764584888,4.24468085106383,1.0835930206097533,0.01469050976759537,0.12249200958672553,188
"Neath Port Talbot",4.065269461077846,0.6709478632316811,4.083832335329341,1.1705629622259817,-0.06300548028605023,0.1355502457876496,167
"Islington",3.919004863449312,0.540146998740344,3.5196408529741863,1.3552103737828678,-0.05491357316265902,0.08402104383719655,891
"Rossendale",4.286858974358975,0.43314636669786744,4.615384615384615,0.8122581569978029,0.21247238527312579,0.18143795546262712,104
"South Somerset",4.133434650455928,0.5856755609983344,4.477203647416413,0.8362585429309493,0.05989187954527621,0.07881870104105501,329
"West Devon",3.9583333333333335,0.8068715304598785,4.722222222222222,0.558326423395605,0.09762864915235443,0.08231048030201564,72
"Salford",3.920866141732284,0.644381357418106,4.1443569553805775,1.1467864119715554,-0.024854268044005007,0.0913872871231457,381
"Anglesey",3.926829268292683,0.9006500065315707,4.573170731707317,0.644498061547503,-0.013886535533918993,0.07999791861171467,82
"Charnwood",3.9601503759398518,0.9318055760309738,4.353383458646617,1.125210013625891,-0.020273357069408915,0.10548321736093057,133
"Staffordshire Moorlands",4.190229885057469,0.498465408273046,4.431034482758621,0.8927305838620426,0.13409360626796515,0.1353259513806875,174
"East Lindsey",4.175215252152518,0.5795313675574724,4.538745387453875,0.9668741688656718,0.04863494269976934,0.10160208749679754,271
"Wychavon",4.111635220125786,0.6021501037438988,4.29559748427673,0.8508483307888955,-0.1988275964395484,0.1105195011743332,159
"Selby",4.115384615384615,0.8003327710263389,4.096153846153846,1.060834493446177,-0.3301750753409791,0.17694043271992665,52
"Stroud",4.098275862068966,0.8816927383276213,4.344827586206897,0.9805884487926969,0.3782555418813986,0.11166855114610563,87
"Newcastle-Under-Lyme",3.917910447761194,1.0423746387469262,4.417910447761194,0.9642761376246624,0.019281658698650245,0.11472026947848714,67
"Newcastle Upon Tyne",3.7460496613995486,0.9604840142094005,4.494356659142213,0.9558373489144527,-0.01201090319076014,0.04738525610808255,443
"Runnymede",4.089462365591397,0.51855195180411,4.167741935483871,1.206537861329706,0.12295784924927142,0.18667876824049306,155
"Christchurch",3.9130434782608696,0.9798754791458859,4.695652173913044,0.6874516652539955,-0.14578633620294126,0.10463573196401284,46
"Poole",3.989160839160841,0.5688845215326122,4.2727272727272725,1.0220082942872148,0.07915553981473691,0.10626892688554795,286
"Herefordshire",4.167989417989418,0.552543168319782,4.235449735449736,1.0053362562915036,0.10826137660716197,0.09328054972959164,378
"Haringey",3.954089790897912,0.6530396817084962,4.464944649446495,0.8998092749320044,0.052287212745771645,0.05921333614496391,542
"Sheffield",4.011042220253906,0.6024623932093385,4.303808680248007,1.0060902333926212,-0.020683447165569226,0.04973385409139257,1129
"Bath and North East Somerset",3.885555555555556,0.9018035769268299,4.4527777777777775,0.845243591158822,0.017872836337615366,0.04952894113383189,360
"Tameside",3.905743243243243,0.9978274313350062,4.222972972972973,1.0955743029678973,0.03993055277994946,0.09079532003847741,148
"Hastings",4.0512345679012345,0.6011597793624599,4.62962962962963,0.8029438292103259,0.0842127591329309,0.08573166894781019,243
"West Dorset",3.974264705882353,1.0732712723484417,4.595588235294118,0.7110335938802734,-0.05217894685121666,0.057152626732141304,136
"North Devon",3.9854304635761593,0.9644953627505602,4.900662251655629,0.34052874522337595,-0.014488449839965518,0.028921107031404696,151
"Plymouth City",3.9819028609447753,0.6049480444586671,4.499001996007984,0.8538389310377553,-0.016522547824977262,0.0631754457104621,501
"Torbay",3.8891534391534397,1.0405286216319385,4.386243386243386,1.0710333061485708,0.1283857339261107,0.07464815886712124,189
"Barnet",3.765281173594132,0.8635756007738543,3.958435207823961,1.2725169008374264,0.0014679520977089145,0.07304080031480208,409
"Chesterfield",3.8499999999999983,0.9252433565377297,4.408602150537634,0.9753583200385864,-0.11140597758643639,0.109818518146241,93
"Walsall",3.9705202312138734,0.8722260842672885,3.5722543352601157,1.2454467843063421,-0.061626083894625185,0.1089862736913149,173
"North Norfolk",4.056097560975609,0.9628165273189924,4.585365853658536,0.7205105379220984,-0.06960270590722009,0.06786558250294232,123
"Portsmouth",3.990090909090907,0.608120379346015,4.26,1.0802524957367396,-0.036440751143105084,0.07583276540464555,550
"Warwick",4.077664109121908,0.5874587767915109,4.491048593350383,0.9403142942991131,0.11307091632416875,0.08063557858793025,391
"York",4.108508311461067,0.5507585161719568,4.2362204724409445,1.0960920290599716,0.012540070593021075,0.07218464954766934,762
"Stratford-on-Avon",3.937055837563452,0.8241577530778368,4.406091370558376,0.9598876054005879,-0.028967400554950368,0.08337012308835981,197
"East Riding of Yorkshire",4.003937007874016,1.0394976508442586,4.244094488188976,0.9818553498758644,0.019116935636893716,0.05949005297953796,254
"Derby City",4.036246612466122,0.5870886514151101,4.300813008130081,1.0471405846678044,0.004966434728341284,0.08057455405992864,492
"North Dorset",4.242272727272726,0.42821969529438575,4.4363636363636365,0.9197556269048537,0.032797029927915354,0.2065666652734438,110
"Durham",4.037336244541481,0.8077633011563888,4.0895196506550215,1.1168906604634339,0.03659055172117325,0.06470728730878803,458
"Waverley",4.111570247933884,0.5446957810717702,4.243801652892562,1.0768328647054122,-0.0034002417666916017,0.1276104260784637,242
"Rutland",4.094186046511627,0.7185830131460417,4.709302325581396,0.5879859013846758,0.15699534736739748,0.08817208593116682,86
"Waltham Forest",3.971296296296296,0.6485153111451583,4.027777777777778,1.1366456958070845,0.03098696081489511,0.0811527640064036,468
"South Kesteven",4.056249999999999,0.6534505149060902,4.6594827586206895,0.7194919721432594,0.037989790952742394,0.07254971513651699,232
"Stockton On Tees",3.798484848484849,1.0091238960847273,4.257575757575758,1.0489620564043014,-0.014660694888256403,0.09115845052951117,132
"Dover",4.07761194029851,0.6799168459473809,4.33955223880597,1.003911652228453,0.043207560572521495,0.09044677903935328,268
"North East Derbyshire",4.080701754385966,0.8317575128439543,4.2631578947368425,1.0178462950428273,-0.06445848469308428,0.16466451498627024,57
"Brighton and Hove",3.988357256778319,0.5695574810494953,4.390749601275917,0.9719071073609641,0.08617836457755998,0.04804700541892839,1254
"Eastleigh",3.978698224852071,0.6435768833556317,4.502958579881657,0.8435222038236725,-0.01841347464677858,0.10140613013719588,169
"Ribble Valley",4.1479591836734695,0.5932407694848065,4.73469387755102,0.6316647975731494,0.08024673539973619,0.08813914516484171,147
"Barrow-in-Furness",4.099363867684479,0.5426250264584834,4.3893129770992365,1.1091054030952632,-0.12600564685035648,0.17852652164395388,131
"Corby",4.02127659574468,0.6879853938988809,4.4787234042553195,0.9863830705119925,0.21465042622705602,0.14599219477248715,94
"Croydon",3.8449152542372866,0.8428677967283236,3.65819209039548,1.3166054225953554,-0.16626324750758387,0.08209895225126283,354
"Northumberland",4.128551336146267,0.5898883155827753,4.606188466947961,0.7738089352531915,0.047742032408414424,0.04920908840833053,711
"Ashfield",4.0062500000000005,0.6280170236103831,4.645833333333333,0.8934075684329821,0.18526867667348,0.11731394767075039,144
"Richmond-Upon-Thames",3.8156914893617015,0.8655222568840224,4.058510638297872,1.1677318963707897,0.0009335955145052099,0.06976360467687975,376
"Amber Valley",4.045270270270271,0.556013086698152,4.238738738738738,1.193727689470014,0.12374820532787774,0.14363420654780756,222
"Warrington",3.9586848635235734,0.6338166774310579,4.60545905707196,0.7753459006749205,-0.054881964490155276,0.060996456394611806,403
"Hartlepool",4.135069444444444,0.5581803229738996,4.506944444444445,0.7905389140904817,-0.06389592981116621,0.11860860512460344,144
"Cornwall",4.145550670016745,0.5707825971910073,4.40891959798995,0.9473559282772497,0.08942317397894134,0.04145725024473242,1592
"West Berkshire",4.029347826086955,0.5817759356190838,4.307453416149069,1.0101382228172562,-0.15407319639466344,0.09590320753365605,322
"Newham",3.836583333333334,0.6912951428565349,3.4766666666666666,1.5403859545220764,-0.06226084551399589,0.09094358381492015,600
"Peterborough City",3.961714285714284,0.5497900733157641,4.368571428571428,1.0842433645032779,-0.023698921281032327,0.10568619544672377,350
"West Lindsey",3.759322033898305,1.1292893586748272,4.220338983050848,1.1359726156010874,-0.07096514883710542,0.13290119033835238,59
"Vale of White Horse",3.981125356125355,0.7261455673937395,3.769230769230769,1.2010295824236277,0.020976284452832693,0.10856515449084958,234
"Rochdale",3.2444444444444454,1.235683446618475,4.152777777777778,1.1200163964849184,-0.179522654272753,0.07482718715744291,144
"Wirral",3.9843316694398196,0.689252679796449,4.174708818635607,1.139705112663965,0.05502610517241724,0.06745934661701825,601
"Hinckley and Bosworth",4.090196078431374,0.6150364998874227,4.38562091503268,0.8013402417774694,-0.0175259047380722,0.10601342860017166,153
"Kettering",4.059062500000001,0.723810918744495,4.30625,1.078174817689599,0.02046990998952199,0.11847985196382217,160
"Bexley",3.932207207207204,0.8151361420266839,3.963963963963964,0.9096868873055378,-0.08226568715277277,0.07498525526089016,222
"North West Leicestershire",4.114666666666667,0.7528954479577864,4.1866666666666665,1.1626788990182209,-0.14173470673898272,0.1789192488298108,75
"Thurrock",3.9257503949447083,0.6381255485704914,4.436018957345971,0.9973573041080517,-0.031914108014301584,0.1080563310306789,211
"Newark and Sherwood",4.194545454545456,0.48854354298100156,4.636363636363637,0.9118141031359878,0.08891338989485988,0.12590740755309768,220
"Medway",3.9042923433874703,0.6610496220837556,4.412993039443156,0.9663566122502177,-0.0019880742445483428,0.07057873286681404,431
"Wycombe",3.983709677419355,0.5887557820607215,4.009677419354839,1.3713320199152914,-0.12712489087134515,0.13164190189802716,310
"Bradford",4.0800683760683745,0.5547262828512516,4.158974358974359,1.1539715031627813,0.02166636702092522,0.06667422269002987,975
"Dartford",4.039898989898989,0.7034539533931373,4.040404040404041,1.2053683951657614,0.07672244674984773,0.17346676536662167,99
"Vale of Glamorgan",4.0531690140845065,0.6281320056362848,3.887323943661972,1.1107578402008,0.0078295626306602,0.10530054000473253,284
"Aylesbury Vale",3.83735294117647,0.9569415398688906,4.235294117647059,1.0643645861819808,-0.1922838304292284,0.08421114717720488,170
"Blackburn",3.7903846153846157,0.8882263258410886,4.006410256410256,1.206269917448396,-0.03404465087831078,0.10937263318333908,156
"Weymouth and Portland",3.512162162162162,1.030081694831899,4.527027027027027,0.6621621621621623,0.010414780757306856,0.0757535322104232,74
"Southampton",3.913115693012602,0.6854866405008087,4.479381443298969,0.8921696182323661,-0.014354568887100023,0.0540368082774588,582
"Guildford",4.033333333333333,0.5126763986754198,4.434163701067615,0.9748291728618194,0.049370089889310194,0.1136980899435128,281
"South Norfolk",4.126857142857144,0.5874096717359866,4.811428571428571,0.6359566151291538,0.17493566734461913,0.08104277345785206,175
"Sevenoaks",4.093790849673204,0.5940537851165167,3.926470588235294,1.1243670524978893,0.049466192698588415,0.1330070524291643,204
"Luton",3.7452380952380957,1.1036093125464415,4.083333333333333,1.0489034334477185,-0.021768190076274185,0.10493256857908018,84
"Cannock Chase",3.493478260869565,1.1636372586924437,4.739130434782608,0.6055820990080052,-0.0013860028519764175,0.0635795708102481,69
"Chorley",4.132451923076923,0.567672582700757,4.221153846153846,1.2046123759663774,0.11289158065000209,0.14690296797233357,208
"Kingston-Upon-Thames",3.97576086956522,0.5451443772910048,4.071739130434783,1.237663128199104,0.05590168989559422,0.1059201359217654,460
"Fenland",4.049599999999999,0.6376674995638401,4.304,1.0447889739081286,-0.11509333615176205,0.14675269497680876,125
"Central Bedfordshire",4.075761904761903,0.5738665630610886,3.9828571428571427,1.0112187030045097,-0.054710652733204,0.09431778624529233,350
"Torridge",4.178703703703704,0.6004320860732565,4.722222222222222,0.6358623967921998,0.08030137176580585,0.10252777934758922,108
"Tewkesbury",3.9792134831460677,1.011584833700694,3.831460674157303,1.2828685821296257,-0.11828600561550982,0.1350083238385018,89
"Barnsley",4.114946619217081,0.5013228912373799,4.270462633451957,1.1246902932457357,0.04332355386696177,0.13418542820413737,281
"Eastbourne",4.092296918767507,0.629105711206677,4.652661064425771,0.6919504604699135,0.028279650690495258,0.058353037513804544,357
"Tower Hamlets",3.873670756646216,0.5983722806573835,4.0378323108384455,1.3617624378413142,0.10664991008281892,0.07243041011459693,978
"Newport",4.047802197802197,0.5699388866366851,4.304029304029304,1.0086903846976865,-0.034200299079510554,0.10744613766343414,273
"Hyndburn",4.06530612244898,0.7614569869820226,3.4693877551020407,1.7968457716779704,-0.12383191985902761,0.3415551925512403,49
"Surrey Heath",3.9393939393939394,0.7906420076151363,4.636363636363637,0.8463175784102389,0.034994440482935096,0.1337203194786726,66
"Swale",4.059914529914532,0.7186059974627622,4.384615384615385,0.9978280159961952,-0.00972836012367219,0.0999460533488953,195
"Monmouthshire",4.092783505154639,0.94522646854673,4.257731958762887,1.0772085968574452,0.04738890778273011,0.11679222598252982,97
"Winchester City",3.9304054054054056,0.8426878476751817,4.5,0.9408162068837542,0.04303860057466159,0.09231218522967825,148
"Norwich City",4.04252427184466,0.5617478245110669,4.275728155339806,0.9104001061538529,-0.030330628424317548,0.07152079973615051,515
"Flintshire",4.022877358490566,0.6601584458584965,4.481132075471698,0.865819843514801,0.04222427480181631,0.09042368647892718,212
"Greenwich",3.726655629139073,0.8858862479588547,4.1158940397351,1.137767810856604,0.022066844165818892,0.0741326100191913,302
"South Lakeland",4.03003144654088,0.9125362053393499,4.613207547169812,0.7080501356966337,0.10850361037625313,0.04339090567767249,318
"East Northamptonshire",4.232758620689655,0.8964273786449767,4.603448275862069,0.6679782975107074,0.21173155328163823,0.09731807429540486,58
"Causeway Coast and Glens",4.044516129032258,0.9855008181848862,4.470967741935484,0.8966581498369904,0.07009228827957002,0.07337611900583613,155
"Mid Suffolk",3.979591836734694,0.941986522681165,4.285714285714286,0.9035079029052513,-0.12503226525613692,0.138808750712479,49
"Burnley",3.9444134078212305,0.7262223885185539,4.268156424581005,1.022453210523651,0.08665963685063752,0.10542661669623977,179
"Calderdale",4.125764192139735,0.7455486279390012,3.6550218340611353,1.3278125375573364,-0.0302809040217545,0.11815406296564372,229
"Maldon",4.1638020833333345,0.6703644497966873,4.7421875,0.6987275684011258,-0.10165096006078589,0.09237537059650211,128
"Merton",3.871138211382113,0.7837010414443946,3.8008130081300813,1.0730244418646384,0.03908646232274441,0.08758551276718028,246
"Lincoln City",3.971328671328671,0.8863867391921638,4.5874125874125875,0.8306091060867828,0.07321630275573583,0.07870398183543252,143
"Adur",3.739130434782609,0.8497599646250235,4.260869565217392,0.9578383560497569,-0.36153592922721656,0.12839299841033222,69
"Cambridge City",3.749550898203591,0.8253150961229383,4.404191616766467,0.9794813055662029,0.08726186057256698,0.06488547625216914,334
"East Devon",4.138550724637679,0.6287375788667201,4.171014492753623,1.0589989050746844,0.0823879134104046,0.09063586051512965,345
"Melton",4.036046511627908,0.8228442999879837,4.3604651162790695,1.0555808573754757,0.03524279544390283,0.13988280144766732,86
"Isle of Wight",4.0810309278350525,0.5367532876722547,4.222680412371134,1.1892564734822415,0.10561800912180629,0.10025160181328178,485
